scraped_at,url,sector,commodity,Title,author,date,body,summary,tag
2026-02-17T14:58:53.068115,https://www.producer.com/daily/china-extends-anti-dumping-probe-on-canadian-canola-pledges-fair-ruling/,Oil Seeds,Canola,China extends anti-dumping probe on Canadian canola; pledges fair ruling,Reuters,Published: 5 days ago,"Beijing | Reuters — China will make a fair and final ruling on Canadian canola, the Chinese commerce ministry said on Thursday, adding that its anti-dumping probe into the oilseed has been extended to March 9. Why it Matters: China has resumed buying Canadian canola after a Ottawa and Beijing reached a deal to cut tariffs on some agricultural products in return for lowering tariffs on Chinese electric vehicles. The extension is due to the “complexity” of the case, He Yadong, a ministry spokesperson, told a regular news conference. ADVERTISEMENT Read Also Canadian agriculture must be seen as growth sector: Blois Agriculture must be pushed as a sector of expansion and investment opportunity in Canada said Kody Blois ahead of the Future of Food conference in Ottawa on Feb. 9. During Canadian Prime Minister Mark Carney’s visit to Beijing last month, China and Canada reached an initial deal that would cut tariffs on Chinese electric vehicles in exchange for lower levies on Canadian canola. China imposed preliminary anti-dumping duties on Canadian canola last year. — Reporting by Joe Cash ",N/A,"News,reuters"
2026-02-17T14:59:21.467575,https://www.producer.com/daily/large-prairie-crops-lead-to-increased-december-stocks/,Oil Seeds,Canola,Large Prairie crops lead to increased December stocks,Phil Franz-Warkentin,"Published: February 6, 2026","Glacier FarmMedia — Bumper crops in Western Canada led to larger stocks of wheat, canola, barley and oats in the country as of Dec. 31, 2025, according to the latest stocks of principal field crops data from Statistics Canada , released Feb. 6. However, reduced production for soybeans and corn, grown primarily in Eastern Canada, cut into supplies of those commodities. Wheat • Total Canadian wheat stocks as of Dec. 31 of 27.5 million tonnes were up by 5.9 per cent from the same point the previous year, and well above the five-year average of 23.6 million tonnes. ADVERTISEMENT Read Also Canadian agriculture must be seen as growth sector: Blois Agriculture must be pushed as a sector of expansion and investment opportunity in Canada said Kody Blois ahead of the Future of Food conference in Ottawa on Feb. 9. • On-farm stocks at 24.1 million tonnes were up 7.2 per cent on the year, while commercial stocks were down 2.7 per cent at 3.4 million tonnes. • Of the total, durum stocks were up by 18.5 per cent on the year at 5.3 million tonnes. Canola • Canola stocks as of Dec. 31, 2025, were up 18.8 per cent on the year at 15.6 million tonnes. On-farm stocks were up 21.2 per cent at 14.3 million tonnes, while commercial stocks dipped by 7.4 per cent at 1.3 million tonnes. • StatCan linked the larger canola supplies to increased production and a sharp drop 36.1 per cent drop in exports due to Chinese tariffs. Barley • Barley stocks were up 16.7 per cent on the year at 5.7 million tonnes. That compares with the five-year average of 4.8 million tonnes. ADVERTISEMENT Pulses • Lentil stocks of just under three million tonnes were roughly double what was on hand at the same point the previous year. • Pea stocks were 77.5 per cent higher on the year, at 3.0 million tonnes. Corn/soybeans • Corn stocks were down 3.3 per cent from the same point a year ago, at 10.9 million tonnes. • Soybeans stocks were 26.6 per cent lower on the year at 3.2 million tonnes. ",N/A,"Markets,News"
2026-02-17T15:00:34.319898,https://www.producer.com/daily/new-federal-funding-to-open-for-agriculture-agri-food-market-diversification/,Oil Seeds,Canola,"New federal funding to open for agriculture, agri-food market diversification",Geralyn Wichers,"Published: February 10, 2026","Two new tranches of federal funding will soon be available to industry groups and eligible businesses looking to diversify markets. A total of $75 million over five years will be available under the AgriMarketing program’s market diversification streams, federal Agriculture Minister Heath MacDonald announced in a news release on Feb. 10. The aim is to support Canadian agriculture and agri-food, including fish and seafood, to diversify markets in the face of current instability. The programs will support all sectors but will focus on those most affected by trade barriers, such as canola , pulses, pork and seafood, the news release said. The funds are divided between a stream for national industry organizations and one for small and medium-sized enterprises . This is separate from a $130 million AgriMarketing program announced under the Sustainable Canadian Agricultural Partnership. The $75 million was previously announced on Sept. 5 and was included in the 2025 budget. Applications open on Feb. 13. ",N/A,News
2026-02-17T15:01:49.806600,https://www.producer.com/daily/funds-exiting-short-positions-in-canola/,Oil Seeds,Canola,Funds exiting short positions in canola,Phil Franz-Warkentin,"Published: February 9, 2026","Glacier FarmMedia — Speculative fund traders reduced their net short position in canola futures for the fourth straight week in the latest Commitments of Traders report from the United States Commodity Futures Trading Commission (CFTC) released Friday. Why it matters: A large fund position can sway the futures markets The net managed money short position in canola futures came in at 42,379 contracts as of Feb. 3 (40,584 long/82,963 short). That was down by about 10,000 contracts from the previous week on a combination of short covering and new longs going on the books. It marks the smallest net short in canola in two months. ADVERTISEMENT Read Also Feed Grain Weekly: Corn affecting barley prices in Lethbridge Corn imports entering Lethbridge have lowered prices for feed barley compared to those in Edmonton. Total open interest in canola futures increased to 296,432 contracts, from 254,979 the previous week. U.S. futures Fund traders grew their net long position in soybeans at the Chicago Board of Trade by roughly 10,000 contracts, with the net long rising to just over 29,000 contracts from about 19,800 the previous week. The net short position in corn came in at about 80,600 contracts on Feb. 3, holding relatively steady on the week. In wheat, the Chicago soft wheat market reported a net short position of 81,500 contracts. The net short in hard red winter wheat came in at roughly 7,800 contracts. In MIAX spring wheat, managed money traders were holding a net short of around 20,800 contracts as of Feb. 3. ",N/A,Markets
2026-02-17T15:06:12.968854,https://www.producer.com/daily/u-s-grains-soybeans-turn-higher-as-traders-weigh-china-demand-wheat-climbs/,Oil Seeds,Soybeans,U.S. grains: Soybeans turn higher as traders weigh China demand; wheat climbs,Julie Ingwersen,Published: 6 days ago,"Chicago | Reuters – Chicago soybean futures turned higher on Wednesday on technical buying and continued hopes of stronger Chinese demand, analysts said, with the benchmark contract heading back toward a two-month peak set last week. Wheat rose on what appeared to be fund-driven short-covering, while corn futures sagged in choppy trade. Chicago Board of Trade March soybean futures closed up 1-1/2 cents at $11.24 per bushel after reaching $11.28-1/4, the contract’s highest since February 6. ADVERTISEMENT Read Also Spain detects first swine fever cases outside initial Barcelona outbreak zone Two African swine fever cases have been detected in Spain among wild boar for the first time outside an original outbreak area near Barcelona, prompting additional restrictions on the movement of people and livestock, regional authorities in Catalonia said on Friday. CBOT March wheat gained nine cents to close at $5.37-1/4 a bushel while March corn settled down 1-1/4 cent at $4.27-1/2 a bushel. Soybeans rallied as traders gauged the likelihood of top global soy buyer China booking more U.S. soybeans. U.S. President Donald Trump said last week that China had increased its target for U.S. soybean purchases, and the U.S. Department of Agriculture in a monthly world crop report on Tuesday said, “China is reported to be considering buying more U.S. soybeans.” Brazil, the world’s biggest soy producer and exporter, has begun harvesting a record-large soybean crop that is expected to dominate the global export market in the coming months. But the prospect of China buying additional U.S. soy cargoes under a trade truce has buoyed the futures market. “The big unknown with China continues to be the big factor. We are finding that futures are just not able to set back very much in this environment,” said Terry Linn, analyst with Linn & Associates in Chicago. Wheat climbed despite a lack of news. Commodity funds hold a hefty net short position in CBOT wheat futures, leaving the market vulnerable to bouts of short-covering. Corn futures drifted lower, losing to soybeans and wheat on inter-market spreads. The market shrugged off confirmation from the USDA of private sales of 230,560 metric tons of U.S. corn to unknown destinations. ADVERTISEMENT -Additional reporting by Daphne Zhang and Lewis Jackson in Beijing, and Gus Trompiz in Paris ",N/A,"Markets,reuters"
2026-02-17T15:06:48.335360,https://www.producer.com/daily/large-prairie-crops-lead-to-increased-december-stocks/,Oil Seeds,Soybeans,Large Prairie crops lead to increased December stocks,Phil Franz-Warkentin,"Published: February 6, 2026","Glacier FarmMedia — Bumper crops in Western Canada led to larger stocks of wheat, canola, barley and oats in the country as of Dec. 31, 2025, according to the latest stocks of principal field crops data from Statistics Canada , released Feb. 6. However, reduced production for soybeans and corn, grown primarily in Eastern Canada, cut into supplies of those commodities. Wheat • Total Canadian wheat stocks as of Dec. 31 of 27.5 million tonnes were up by 5.9 per cent from the same point the previous year, and well above the five-year average of 23.6 million tonnes. ADVERTISEMENT Read Also Canadian agriculture must be seen as growth sector: Blois Agriculture must be pushed as a sector of expansion and investment opportunity in Canada said Kody Blois ahead of the Future of Food conference in Ottawa on Feb. 9. • On-farm stocks at 24.1 million tonnes were up 7.2 per cent on the year, while commercial stocks were down 2.7 per cent at 3.4 million tonnes. • Of the total, durum stocks were up by 18.5 per cent on the year at 5.3 million tonnes. Canola • Canola stocks as of Dec. 31, 2025, were up 18.8 per cent on the year at 15.6 million tonnes. On-farm stocks were up 21.2 per cent at 14.3 million tonnes, while commercial stocks dipped by 7.4 per cent at 1.3 million tonnes. • StatCan linked the larger canola supplies to increased production and a sharp drop 36.1 per cent drop in exports due to Chinese tariffs. Barley • Barley stocks were up 16.7 per cent on the year at 5.7 million tonnes. That compares with the five-year average of 4.8 million tonnes. ADVERTISEMENT Pulses • Lentil stocks of just under three million tonnes were roughly double what was on hand at the same point the previous year. • Pea stocks were 77.5 per cent higher on the year, at 3.0 million tonnes. Corn/soybeans • Corn stocks were down 3.3 per cent from the same point a year ago, at 10.9 million tonnes. • Soybeans stocks were 26.6 per cent lower on the year at 3.2 million tonnes. ",N/A,"Markets,News"
2026-02-17T15:07:34.957574,https://www.producer.com/daily/only-small-adjustments-in-latest-usda-supply-demand-estimates/,Oil Seeds,Soybeans,Only small adjustments in latest USDA supply/demand estimates,Phil Franz-Warkentin,"Published: February 10, 2026","Glacier FarmMedia — Corn ending stocks in the United States for 2025/26 will be slightly tighter than earlier expectations, but still record-large, according to updated supply/demand tables from the U.S. Department of Agriculture released Feb. 10. The U.S. soybean balance sheet was left unchanged on the month, while Brazilian production of the crop was revised higher. Why it matters: The USDA data influences global agricultural futures markets, which spills into Canadian cash prices. ADVERTISEMENT Read Also Feed Grain Weekly: Corn affecting barley prices in Lethbridge Corn imports entering Lethbridge have lowered prices for feed barley compared to those in Edmonton. Corn • Projected U.S. corn ending stocks for 2025/26 were lowered to 2.127 billion bushels from 2.227 billion bushels in January. That below average trade estimates calling for an unchanged reading on the month but well above the 1.551-billion-bushel corn carryout from 2024/25. • Anticipated U.S. corn exports were raised to a record 3.3 billion bushels from 3.2 billion bushels the previous month. • The global corn carryout for 2025/26 was estimated at 288.98 million tonnes, which was down from 290.91 million in January and below average trade guesses. Soybeans • U.S. soybean ending stocks for 2025/26 were left unchanged at 350 million bushels, which was in line with trade estimates. ADVERTISEMENT • U.S. soybean exports were left unchanged, with the accompanying commentary noting that “China is reported to be considering buying more U.S. soybeans.” • Projected world soybean ending stocks for 2025/26 were up by 1.1 million tonnes from January, at 125.51 million tonnes. Wheat • The anticipated U.S. all-wheat carryout for the current marketing year was raised by five million bushels from January at 931 million bushels. That compares with 855 million in 2024/25. • World wheat ending stocks saw a small adjustment, moving to 277.51 million tonnes from 278.25 in January. South America • Brazil’s 2025/26 soybean production was up by two million tonnes from January, at 180.0 million tonnes. That compares with 171.5 million tonnes in 2024/25. • Brazilian corn production for the year was left unchanged at 131.0 million tonnes. • Soybean and corn production in Argentina were steady at 48.5 million and 53.0 million tonnes respectively. ",N/A,Markets
2026-02-17T15:10:37.577651,https://www.producer.com/daily/cbot-weekly-additional-soybean-purchases-strengthen-u-s-soy/,Oil Seeds,Soybeans,CBOT Weekly: Additional soybean purchases strengthen U.S. soy,N/A,"Published: February 4, 2026","Glacier FarmMedia — There were good gains for the Chicago soy complex during the week ended Feb. 4, due to positive news that Wednesday. New Trump/Xi deal “Today’s story is … China agreed with Trump over the phone to buy 20 million tonnes of soybeans instead of 12 million,” said Ryan Ettner, broker with Allendale Inc. in McHenry, Ill. On a Feb. 4 phone call, United States President Donald Trump discussed several matters with Chinese President Xi Jinping, including agriculture. ADVERTISEMENT Read Also Canadian agriculture must be seen as growth sector: Blois Agriculture must be pushed as a sector of expansion and investment opportunity in Canada said Kody Blois ahead of the Future of Food conference in Ottawa on Feb. 9. Afterward, Trump posted on Truth Social that “… the consideration by China of the purchase of additional Agricultural products including lifting the Soybean count to 20 Million Tons for the current season (They have committed to 25 Million Tons for next season!)…” Previous deal In the fall, Trump and Xi agreed that China would buy 12 million tonnes of old crop U.S. soybeans. China made those acquisitions a lot quicker than the market expected and is now set to buy another eight million tonnes before the end of the 2025/26 soybean marketing year. During that fall meeting, China agreed to purchase 25 million tonnes of U.S. soybeans for the next three years. ADVERTISEMENT Bean prices higher Over the course of the week ended Feb. 4, March soybeans at the Chicago Board of Trade had a net gain of 17.25 cents at US$10.9225 per bushel. March soyoil climbed 1.35 cents at 55.66 cents per pound, but March soymeal shed US$1.20 at US$296.20 per short ton. USDA likely won’t cut export forecast Ettner said the Feb. 4 U.S.-China agreement could have an affect on the Feb. 10 supply and demand estimates from the Department of Agriculture. He suggested the USDA was most likely set to lower some of its export forecasts, including that for soybeans. “Now we get this China agreement and there really isn’t a reason why we would expect them to lower exports,” Ettner said. “That may mean they leave all of the numbers pretty close to January’s.” In last month’s S/D report, the USDA lowered 2025/26 soybean exports to 42.86 million tonnes from 44.50 million in December. However, that’s still down significantly from 2024/25 exports of 51.22 million tonnes. ",N/A,"Markets,News"
2026-02-17T15:12:23.776422,https://www.producer.com/daily/u-s-grains-soybeans-continue-gains-on-trumps-china-comments/,Oil Seeds,Soybeans,U.S. grains: Soybeans continue gains on Trump’s China comments,Reuters,"Published: February 6, 2026","Chicago | Reuters – Chicago Board of Trade soybeans continued a three-day rally on Friday, fuelled by President Donald Trump’s remarks on Wednesday that China would buy more U.S. soybeans. Corn and wheat chopped up and down, though ample global supply continued to curb grain prices while traders turned their attention to a U.S. Department of Agriculture world crop report due Tuesday. The most-active CBOT soybean Sv1 contract settled 3 cents higher at $11.15-1/4 a bushel. ADVERTISEMENT Read Also Spain detects first swine fever cases outside initial Barcelona outbreak zone Two African swine fever cases have been detected in Spain among wild boar for the first time outside an original outbreak area near Barcelona, prompting additional restrictions on the movement of people and livestock, regional authorities in Catalonia said on Friday. Soybeans hit a two-month high on Wednesday after Trump posted that China was hiking purchases and “lifting the soybean count to 20 million tons” for the current season. That implied that China could buy an additional 8 million metric tons of U.S. soybeans in 2025/26 on top of about 12 million tons already booked since a trade truce was reached in late October. “The market is assuming that China will buy something,” said Dan Basse, president of AgResource Company, though he noted that many industry players are skeptical that Trump’s comments will prove accurate. The remarks surprised traders, who expected China to rely heavily on Brazilian soybeans in the first half of 2026. Brazil, the world’s largest soybean producer and exporter, is expected to produce 181.6 million metric tons in 2025/26, consultancy firm StoneX said on Monday, raising its outlook for the harvest that is in progress. Meanwhile, CBOT corn Cv1 closed 4-3/4 cents lower to $4.30-1/4 per bushel. CBOT wheat Wv1 closed 5-1/2 cents lower at $5.29-3/4 per bushel. Traders are monitoring dry weather in Argentina, though a massive U.S. harvest last year and favorable planting conditions for Brazil’s second corn crop tempered concerns. ADVERTISEMENT In wheat, traders have been monitoring severe cold in the U.S.and in Russian production belts, but snow cover is expected to limit potential crop losses. Nearly all Russian crops were in normal condition as of Thursday, Deputy Prime Minister Dmitry Patrushev said. -Additional reporting by Daphne Zhang and Lewis Jackson in Beijing and Gus Trompiz in Paris ",N/A,"Markets,reuters"
2026-02-17T15:14:37.842983,https://www.producer.com/daily/u-s-grains-soy-rally-continues-after-trump-says-china-to-expand-purchases/,Oil Seeds,Soybeans,U.S. grains: Soy rally continues after Trump says China to expand purchases,Reuters,"Published: February 5, 2026","Chicago | Reuters – Chicago soybeans extended gains on Thursday, a day after U.S. President Donald Trump said China had raised a target for U.S. soybean purchases under a trade truce. Corn and wheat ticked up with spillover support from soybeans, though a firmer dollar and easing weather concerns capped the cereal markets. Soybeans rallied on Wednesday after Trump said China was “lifting the soybean count to 20 million tons for the current season,” suggesting China could buy 8 million metric tons of U.S. soybeans in 2025/26 on top of approximately 12 million tons already booked since the trade truce in late October. ADVERTISEMENT Read Also Spain detects first swine fever cases outside initial Barcelona outbreak zone Two African swine fever cases have been detected in Spain among wild boar for the first time outside an original outbreak area near Barcelona, prompting additional restrictions on the movement of people and livestock, regional authorities in Catalonia said on Friday. “Honestly, it’s the only story right now,” said Jason Ward, managing director of Northstar Commodity. The most-active soybean contract on the Chicago Board of Trade Sv1 settled 20 cents higher at $11.12-1/4 a bushel. The news surprised traders who have expected China to focus on buying cheaper Brazilian beans in the coming months as Brazil’s new crop comes onto the market. Many traders are optimistic that China will fulfill its verbal commitment to purchase additional bushels, which in addition to demand from other countries and soy processing plants, would drastically change the U.S. soybean supply. Some market players, however, have remained cautious given the potential strain on U.S. supply from the new export volume cited by Trump. Such additional purchases may represent a political gesture by Beijing, despite higher costs, ahead of a planned visit by Trump to China in April, according to analysts. CBOT wheat Wv1 closed 8-1/2 cents higher at $5.35-1/4 a bushel while corn Cv1 closed 5-1/2 cents higher at $5.35 per bushel. ADVERTISEMENT Nearly all Russian crops were in normal condition as of February 5, Deputy Prime Minister Dmitry Patrushev was quoted as saying on Thursday. Wheat traders have been monitoring severe cold in U.S., Russian and Ukrainian production belts, but snow cover is expected to limit potential crop losses. -Additional reporting by Daphne Zhang and Lewis Jackson in Beijing, Gus Trompiz in Paris. ",N/A,"Markets,reuters"
