url,headline,date,article_number,article_type,contact,article_text,topics,regions,commodities,programs,scraped_at
https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-and-japan,Export Sales to Unknown Destinations and Japan,"January 16, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"Private exporters reported the following sales activity:
• 298,000 metric tons of corn for delivery to unknown destinations during the 2025/2026 marketing year
• 120,000 metric tons of corn for delivery to Japan during the 2025/2026 marketing year
298,000 metric tons of corn for delivery to unknown destinations during the 2025/2026 marketing year
120,000 metric tons of corn for delivery to Japan during the 2025/2026 marketing year",Exporting,East Asia and the Pacific; Japan,"Grains, Feeds and Fodders; Corn",Export Sales Reporting Program,2026-02-09 14:21:37.966211
https://www.fas.usda.gov/newsroom/export-sales-colombia-and-unknown-destinations-1,Export Sales to Colombia and Unknown Destinations,"January 21, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"Private exporters reported the following sales activities:
• 150,000 metric tons of corn for delivery to Colombia during the 2025/2026 marketing year
• 195,000 metric tons of corn for delivery to unknown destinations during the 2025/2026 marketing year
150,000 metric tons of corn for delivery to Colombia during the 2025/2026 marketing year
195,000 metric tons of corn for delivery to unknown destinations during the 2025/2026 marketing year",Exporting,Colombia; Western Hemisphere,"Grains, Feeds and Fodders; Corn",Export Sales Reporting Program,2026-02-09 14:21:40.833236
https://www.fas.usda.gov/newsroom/export-sales-china-87,Export Sales to China,"January 8, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"Private exporters reported sales of 132,000 metric tons of soybeans for delivery to China during the 2025/2026 marketing year.",Exporting,China; East Asia and the Pacific,Oilseeds; Soybeans,Export Sales Reporting Program,2026-02-09 14:21:43.692252
https://www.fas.usda.gov/newsroom/export-sales-china-and-mexico-9,Export Sales to China and Mexico,"January 13, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"Private exporters reported the following sales activities:
• 168,000 metric tons of soybeans for delivery to China during the 2025/2026 marketing year
• 152,404 metric tons of soybeans for delivery to Mexico during the 2025/2026 marketing year
168,000 metric tons of soybeans for delivery to China during the 2025/2026 marketing year
152,404 metric tons of soybeans for delivery to Mexico during the 2025/2026 marketing year",Exporting,China; East Asia and the Pacific; Mexico; Western Hemisphere,Oilseeds; Soybeans,Export Sales Reporting Program,2026-02-09 14:21:47.548796
https://www.fas.usda.gov/newsroom/export-sales-south-korea-and-china,Export Sales to South Korea and China,"January 14, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"Private exporters reported the following sales activities:
• 136,000 metric tons of corn for delivery to South Korea during the 2025/2026 marketing year
• 334,000 metric tons of soybeans for delivery to China during the 2025/2026 marketing year
136,000 metric tons of corn for delivery to South Korea during the 2025/2026 marketing year
334,000 metric tons of soybeans for delivery to China during the 2025/2026 marketing year",Exporting,China; East Asia and the Pacific; South Korea,"Grains, Feeds and Fodders; Corn; Oilseeds; Soybeans",Export Sales Reporting Program,2026-02-09 14:21:51.374060
https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-120,Export Sales to Unknown Destinations,"January 22, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"Private exporters reported sales of 192,350 metric tons of soybeans for delivery to unknown destinations during the 2025/2026 marketing year.",Exporting,,Oilseeds; Soybeans,Export Sales Reporting Program,2026-02-09 14:21:54.834663
https://www.fas.usda.gov/newsroom/export-sales-south-korea-and-unknown-destinations,Export Sales to South Korea and Unknown Destinations,"January 12, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"Private exporters reported the following sales activity:
• 204,000 metric tons of corn for delivery to South Korea during the 2025/2026 marketing year
• 310,000 metric tons of corn for delivery to unknown destinations during the 2025/2026 marketing year
204,000 metric tons of corn for delivery to South Korea during the 2025/2026 marketing year
310,000 metric tons of corn for delivery to unknown destinations during the 2025/2026 marketing year",Exporting,East Asia and the Pacific; South Korea,"Grains, Feeds and Fodders; Corn",Export Sales Reporting Program,2026-02-09 14:21:58.977671
https://www.fas.usda.gov/newsroom/export-sales-china-japan-and-unknown-destinations-0,"CORRECTION: Export Sales to China, Japan, and Unknown Destinations","January 15, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"A correction was issued for this announcement on January 22, 2026. The initial version included reference to a sale of 500,302 metric tons of corn for delivery to unknown destinations. The corrected information is as follows:
---
Private exporters reported the following sales activities:
• 204,000 metric tons of soybeans for delivery to China during the 2025/2026 marketing year
• 110,000 metric tons of soybeans for delivery to unknown destinations during the 2025/2026 marketing year
• 435,000 metric tons of soybeans received in the reporting period for delivery to unknown destinations. Of the total, 360,000 metric tons is for delivery during the 2025/2026 marketing year, and 75,000 metric tons is for delivery during the 2026/2027 marketing year
• 260,000 metric tons of corn received in the reporting period for delivery to Japan during the 2025/2026 marketing year
• 320,302 metric tons of cornreceived in the reporting period for delivery to unknown destinations during the 2025/2026 marketing year
204,000 metric tons of soybeans for delivery to China during the 2025/2026 marketing year
110,000 metric tons of soybeans for delivery to unknown destinations during the 2025/2026 marketing year
435,000 metric tons of soybeans received in the reporting period for delivery to unknown destinations. Of the total, 360,000 metric tons is for delivery during the 2025/2026 marketing year, and 75,000 metric tons is for delivery during the 2026/2027 marketing year
260,000 metric tons of corn received in the reporting period for delivery to Japan during the 2025/2026 marketing year
320,302 metric tons of cornreceived in the reporting period for delivery to unknown destinations during the 2025/2026 marketing year",Exporting,China; East Asia and the Pacific; Japan,"Grains, Feeds and Fodders; Corn; Oilseeds; Soybeans",Export Sales Reporting Program,2026-02-09 14:22:02.077731
https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-119,Export Sales to Unknown Destinations,"January 9, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"Private exporters reported sales of 198,000 metric tons of soybeans for delivery to unknown destinations during the 2025/2026 marketing year.",Exporting,,Oilseeds; Soybeans,Export Sales Reporting Program,2026-02-09 14:22:05.827003
https://www.fas.usda.gov/newsroom/export-sales-philippines-5,Export Sales to the Philippines,"January 20, 2026",Export Sales Announcement,,Export Sales Reporting Staff (mailto:esr@usda.gov),"Private exporters reported sales of 190,000 metric tons of soybean cake and meal for delivery to the Philippines during the 2025/2026 marketing year.",Exporting,East Asia and the Pacific; Philippines,Oilseeds; Soybean Meal,Export Sales Reporting Program,2026-02-09 14:22:08.693177
