Headline,Date,Announcement Type,Is Correction,Marketing Year,Commodities,Destinations,Volumes (MT),Total Volume (MT),URL,Content Preview
Export Sales to China,"February 9, 2026",Export Sales Announcement,False,2025/2026,soybeans,China,"264000, 264000",528000,https://www.fas.usda.gov/newsroom/export-sales-china-88,"Private exporters reported sales of 264,000 MT of soybeans for delivery to China during MY 2025/2026."
Export Sales to Unknown Destinations,"February 4, 2026",Export Sales Announcement,False,2025/2026,corn,Unknown,"130480, 130480",260960,https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-122,"Private exporters reported sales of 130,480 MT of corn for delivery to unknown destinations during MY 2025/2026."
Export Sales to Unknown Destinations,"January 27, 2026",Export Sales Announcement,False,2025/2026,"corn, sorghum",Unknown,"110000, 306000, 110000, 306000",832000,https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-121,"Private exporters reported the following sales activities for MY 2025/2026: 110,000 MT of corn for delivery to unknown destinations and 306,000 MT of sorghum for delivery to unknown destinations."
Export Sales to Unknown Destinations,"January 22, 2026",Export Sales Announcement,False,2025/2026,soybeans,Unknown,"192350, 192350",384700,https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-120,"Private exporters reported sales of 192,350 MT of soybeans for delivery to unknown destinations during MY 2025/2026."
Export Sales to Colombia and Unknown Destinations,"January 21, 2026",Export Sales Announcement,False,2025/2026,corn,"Unknown, Colombia","150000, 195000, 150000, 195000",690000,https://www.fas.usda.gov/newsroom/export-sales-colombia-and-unknown-destinations-1,"Private exporters reported the following sales activities for MY 2025/2026: 150,000 MT of corn for delivery to Colombia and 195,000 MT of corn for delivery to unknown destinations."
Export Sales to the Philippines,"January 20, 2026",Export Sales Announcement,False,2025/2026,"soybean meal, soybeans",Philippines,"190000, 190000",380000,https://www.fas.usda.gov/newsroom/export-sales-philippines-5,"Private exporters reported sales of 190,000 MT of soybean cake and meal for delivery to the Philippines during MY 2025/2026."
Export Sales to Unknown Destinations and Japan,"January 16, 2026",Export Sales Announcement,False,2025/2026,corn,"Japan, Unknown","298000, 120000, 298000, 120000",836000,https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-and-japan,"Private exporters reported the following sales activity for MY 2025/2026: 298,000 MT of corn for delivery to unknown destinations and 120,000 MT of corn for delivery to Japan."
"CORRECTION: Export Sales to China, Japan, and Unknown Destinations","January 15, 2026",Export Sales Announcement,False,,,"Japan, China, Unknown",,0,https://www.fas.usda.gov/newsroom/export-sales-china-japan-and-unknown-destinations-0,"Private exporters reported sales activity to China, Japan, and unknown destinations."
Export Sales to South Korea and China,"January 14, 2026",Export Sales Announcement,False,2025/2026,"corn, soybeans","China, South Korea","136000, 334000, 136000, 334000",940000,https://www.fas.usda.gov/newsroom/export-sales-south-korea-and-china,"Private exporters reported the following sales activities for MY 2025/2026: 136,000 MT of corn for delivery to South Korea and 334,000 MT of soybeans for delivery to China."
Export Sales to China and Mexico,"January 13, 2026",Export Sales Announcement,False,2025/2026,soybeans,"China, Mexico","168000, 152404, 168000, 152404",640808,https://www.fas.usda.gov/newsroom/export-sales-china-and-mexico-9,"Private exporters reported the following sales activities for MY 2025/2026: 168,000 MT of soybeans for delivery to China and 152,404 MT of soybeans for delivery to Mexico."
Export Sales to South Korea and Unknown Destinations,"January 12, 2026",Export Sales Announcement,False,2025/2026,corn,"South Korea, Unknown","204000, 310000, 204000, 310000",1028000,https://www.fas.usda.gov/newsroom/export-sales-south-korea-and-unknown-destinations,"Private exporters reported the following sales activity for MY 2025/2026: 204,000 MT of corn for delivery to South Korea and 310,000 MT of corn for delivery to unknown destinations."
Export Sales to Unknown Destinations,"January 9, 2026",Export Sales Announcement,False,2025/2026,soybeans,Unknown,"198000, 198000",396000,https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-119,"Private exporters reported sales of 198,000 MT of soybeans for delivery to unknown destinations during MY 2025/2026."
Export Sales to China,"January 8, 2026",Export Sales Announcement,False,2025/2026,soybeans,China,"132000, 132000",264000,https://www.fas.usda.gov/newsroom/export-sales-china-87,"Private exporters reported sales of 132,000 MT of soybeans for delivery to China during MY 2025/2026."
Export Sales to China,"January 6, 2026",Export Sales Announcement,False,2025/2026,soybeans,China,"336000, 336000",672000,https://www.fas.usda.gov/newsroom/export-sales-china-86,"Private exporters reported sales of 336,000 MT of soybeans for delivery to China during MY 2025/2026."
Export Sales to South Korea,"January 2, 2026",Export Sales Announcement,False,2025/2026,corn,South Korea,"132000, 132000",264000,https://www.fas.usda.gov/newsroom/export-sales-south-korea-4,"Private exporters reported sales of 132,000 MT of corn for delivery to South Korea during MY 2025/2026."
CORRECTION: Export Sales to China and Unknown Destinations,"December 30, 2025",Export Sales Announcement,False,2025/2026,soybeans,"China, Unknown","136000, 206700, 136000, 206700",685400,https://www.fas.usda.gov/newsroom/export-sales-china-and-unknown-destinations-35,"Private exporters reported the following sales activity for MY 2025/2026: 136,000 MT of soybeans for delivery to China and 206,700 MT of soybeans received in the reporting period for delivery to unkno..."
Export Sales to Egypt,"December 29, 2025",Export Sales Announcement,False,2025/2026,soybeans,Egypt,"100000, 100000",200000,https://www.fas.usda.gov/newsroom/export-sales-egypt-1,"Private exporters reported sales of 100,000 MT of soybeans for delivery to Egypt during MY 2025/2026."
Export Sales to China,"December 22, 2025",Export Sales Announcement,False,2025/2026,soybeans,China,"396000, 396000, 330000, 66000",1188000,https://www.fas.usda.gov/newsroom/export-sales-china-85,"Private exporters reported sales of 396,000 MT of soybeans for delivery to China - 330,000 MT is for delivery during MY 2025/2026 and 66,000 MT is for delivery during MY 2026/2027."
Export Sales to China,"December 19, 2025",Export Sales Announcement,False,2025/2026,soybeans,China,"134000, 134000",268000,https://www.fas.usda.gov/newsroom/export-sales-china-84,"Private exporters reported sales of 134,000 MT of soybeans for delivery to China during MY 2025/2026."
Export Sales to Unknown Destinations,"December 18, 2025",Export Sales Announcement,False,2025/2026,soybeans,Unknown,"114000, 114000",228000,https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-118,"Private exporters reported sales of 114,000 MT of soybeans for delivery to unknown destinations during MY 2025/2026."
"Export Sales to China, Mexico, and Unknown Destinations","December 17, 2025",Export Sales Announcement,False,2025/2026,,,,0,https://www.fas.usda.gov/newsroom/export-sales-china-mexico-and-unknown-destinations-5,"Private exporters reported a cancelation, along with sales activity for MY 2025/2026."
Export Sales to China and Unknown Destinations,"December 15, 2025",Export Sales Announcement,False,2025/2026,"corn, soybeans","China, Unknown","150320, 136000, 150320, 136000",572640,https://www.fas.usda.gov/newsroom/export-sales-china-and-unknown-destinations-34,"Private exporters reported the following sales activities for MY 2025/2026: 150,320 MT of corn for delivery to unknown destinations and 136,000 MT of soybeans for delivery to China."
"Export Sales to China, Mexico, and Unknown Destinations","December 12, 2025",Export Sales Announcement,False,2025/2026,,,,0,https://www.fas.usda.gov/newsroom/export-sales-china-mexico-and-unknown-destinations-4,Private exporters reported sales activities for delivery in MY 2025/2026 and MY 2026/2027.
Export Sales to China and Unknown Destinations,"December 11, 2025",Export Sales Announcement,False,2025/2026,"corn, soybeans","China, Unknown","264000, 186000, 226000, 264000, 186000, 226000",1352000,https://www.fas.usda.gov/newsroom/export-sales-china-and-unknown-destinations-33,"Private exporters reported the following sales activities for MY 2025/2026: 264,000 MT of soybeans for delivery to China, 186,000 MT of corn for delivery to unknown destinations, and 226,000 MT of soy..."
"Export Sales to China, Poland, and Unknown Destinations","December 10, 2025",Export Sales Announcement,False,2025/2026,"soybean meal, soybeans","China, Unknown","136000, 119000, 212000, 120000, 136000, 119000, 212000, 120000",1174000,https://www.fas.usda.gov/newsroom/export-sales-china-poland-and-unknown-destinations,"Private exporters reported the following sales activity for MY 2025/2026: 136,000 MT of soybeans for delivery to China, 119,000 MT of soybeans for delivery to unknown destinations, 212,000 MT of soybe..."
Export Sales to China,"December 8, 2025",Export Sales Announcement,False,2025/2026,soybeans,China,"132000, 132000",264000,https://www.fas.usda.gov/newsroom/export-sales-china-83,"Private exporters reported sales of 132,000 MT of soybeans for delivery to China during MY 2025/2026."
Export Sales to China,"December 5, 2025",Export Sales Announcement,False,2025/2026,soybeans,China,"462000, 462000",924000,https://www.fas.usda.gov/newsroom/export-sales-china-82,"Private exporters reported sales of 462,000 MT of soybeans for delivery to China during MY 2025/2026."
Export Sales to Colombia and Mexico,"December 4, 2025",Export Sales Announcement,False,2025/2026,corn,"Colombia, Mexico","100800, 392500, 100800, 392500",986600,https://www.fas.usda.gov/newsroom/export-sales-colombia-and-mexico-0,"Private exporters reported the following sales activities for MY 2025/2026: 100,800 MT of corn for delivery to Colombia and 392,500 MT of corn for delivery to Mexico."
Export Sales to China and Unknown Destinations,"November 28, 2025",Export Sales Announcement,False,2025/2026,"corn, soybeans","China, Unknown","312000, 273988, 312000, 273988",1171976,https://www.fas.usda.gov/newsroom/export-sales-china-and-unknown-destinations-32,"Private exporters reported the following sales activity for MY 2025/2026: 312,000 MT of soybeans for delivery to China and 273,988 MT of corn received in the reporting period for delivery to unknown d..."
Export Sales to China,"November 24, 2025",Export Sales Announcement,False,2025/2026,soybeans,China,"123000, 123000",246000,https://www.fas.usda.gov/newsroom/export-sales-china-81,"Private exporters reported sales of 123,000 MT of soybeans for delivery to China during MY 2025/2026."
Export Sales to China,"November 20, 2025",Export Sales Announcement,False,2025/2026,"wheat, soybeans",China,"132000, 462000, 132000, 462000",1188000,https://www.fas.usda.gov/newsroom/export-sales-china-80,"Private exporters reported the following sales activity for MY 2025/2026: 132,000 MT of white wheat for delivery to China and 462,000 MT of soybeans for delivery to China."
Export Sales to China,"November 19, 2025",Export Sales Announcement,False,2025/2026,soybeans,China,"330000, 330000",660000,https://www.fas.usda.gov/newsroom/export-sales-china-79,"Private exporters reported sales of 330,000 MT of soybeans for delivery to China during MY 2025/2026."
Export Sales to China,"November 18, 2025",Export Sales Announcement,False,2025/2026,soybeans,China,"792000, 792000",1584000,https://www.fas.usda.gov/newsroom/export-sales-china-78,"Private exporters reported sales of 792,000 MT of soybeans for delivery to China during MY 2025/2026."
